"","LAKE","SAMPLE_MONTH","Mean","Median","Min","Max","SD"
"1","Cazenovia_A","June",11.9,11.9,11.9,11.9,NA
"2","Cazenovia_A","July",10.1615384615385,11.33,3.67,13.03,2.571928090473
"3","Cazenovia_A","August",7.82625,8.485,2.79,11.74,3.13891672624262
"4","Cazenovia_A","September",4.02374233128834,3.83,1.31,13.09,1.54037877572472
"5","Cazenovia_B","July",9.485,9.53,7.87,11.01,1.29435955849473
"6","Cazenovia_B","August",16.32,16.32,16.32,16.32,NA
"7","Cazenovia_B","September",4.26995169082126,3.92,1.3,16.89,1.99778165750238
"8","EatonBrook","June",8.798,8.43,2.01,15.04,3.92468439319736
"9","EatonBrook","July",9.94048076923077,8.99,2.96,18.19,3.80580661870149
"10","EatonBrook","August",9.29183823529412,9.88,1.1,14.79,2.64528461038404
"11","EatonBrook","September",7.83099378881988,8.47,0.99,17.93,4.57203581637449
"12","EatonBrook","October",7.17121359223301,6.5,1.42,20.38,4.00223522705655
"13","Honeoye","June",10.3429107981221,10.32,2.68,16.84,2.86383994370104
"14","Honeoye","July",10.7926388888889,10.64,5.94,17.51,2.56339508204166
"15","Honeoye","August",8.35784722222222,9.76,0.86,17.45,4.80109663510043
"16","Honeoye","September",9.25620967741935,10.01,1.21,17.08,4.3041871451028
"17","Honeoye","October",8.59139534883721,8.62,1.55,17.44,3.49926754110248
"18","Owasco","June",5.13170731707317,5.5,1.88,9.82,1.84692433851393
"19","Owasco","July",6.6115625,6.555,3.6,9.82,1.8705909181498
"20","Owasco","August",6.69830985915493,7.78,0.86,14.7,4.07004176388382
"21","Owasco","September",8.87337209302326,7.425,2.69,16.57,4.03065710902157
"22","Silver","June",9.34214285714286,9.46,2.02,15.87,3.32443609123041
"23","Silver","July",9.65625,10.24,3.03,16.1,3.4266877920432
"24","Silver","August",10.7014572864322,10.33,3.51,18.52,3.26092791945692
"25","Silver","September",11.5606493506494,11.79,4.4,18.35,3.14399650866216
"26","Silver","October",10.9989090909091,11.84,1.11,17.76,4.24084039305491
"27","Song","June",7.68478260869565,7.69,2.64,11.85,1.97490898707925
"28","Song","July",10.0257575757576,10.34,5.7,15.49,2.06065983107206
"29","Song","August",10.9974626865672,11.26,6.09,15.32,2.10841484567563
"30","Song","September",11.4997014925373,11.5,2.78,18.59,2.78717461487177
"31","Song","October",11.1125806451613,12.25,1.06,15.97,3.48262852279941
"32","UpperLittleYork_A","June",6.85893333333333,7.025,3.24,10.31,1.65591279261131
"33","UpperLittleYork_A","July",8.12813559322034,8.35,2.23,13.23,2.2793595650894
"34","UpperLittleYork_A","August",9.29315068493151,9.42,3.78,15.25,2.56901987305897
"35","UpperLittleYork_A","September",9.63600858369099,10.04,1.93,16.56,2.75369640914156
